#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-06-22 00:04:27
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2010-06-22 00:04:27 134.36.36.75 GET / - 80 - 208.80.193.35 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.1;+{4150D290-0974-7F1D-5AD5-E5FC833FF1EC};+.NET+CLR+2.0.50727;+.NET+CLR+1.1.4322;+InfoPath.1) 200 0 0 166
2010-06-22 00:14:10 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=846&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 313
2010-06-22 00:14:10 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=656&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:11 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=268&pid=8&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 343
2010-06-22 00:14:13 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=273&pid=8&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 297
2010-06-22 00:14:13 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=941&pid=10&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 287
2010-06-22 00:14:13 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=413&pid=17&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 282
2010-06-22 00:14:14 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=333&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 317
2010-06-22 00:14:14 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=278&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 332
2010-06-22 00:14:14 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=271&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 285
2010-06-22 00:14:15 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=289&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 301
2010-06-22 00:14:15 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=164&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 314
2010-06-22 00:14:15 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=159&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:17 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=797&pid=13&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 297
2010-06-22 00:14:17 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=41&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 308
2010-06-22 00:14:17 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=162&pid=2&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 328
2010-06-22 00:14:18 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=207&pid=2&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 339
2010-06-22 00:14:18 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=631&pid=10&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 296
2010-06-22 00:14:18 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=667&pid=13&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 298
2010-06-22 00:14:19 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=595&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 304
2010-06-22 00:14:19 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=345&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 306
2010-06-22 00:14:19 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=510&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 290
2010-06-22 00:14:20 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=160&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 290
2010-06-22 00:14:20 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=606&pid=16&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 286
2010-06-22 00:14:20 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=572&pid=16&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 303
2010-06-22 00:14:23 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=398&pid=7&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 292
2010-06-22 00:14:23 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=603&pid=13&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 306
2010-06-22 00:14:23 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=11&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 193
2010-06-22 00:14:24 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=92&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:24 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=381&pid=16&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 336
2010-06-22 00:14:25 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=437&pid=16&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:25 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=894&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 280
2010-06-22 00:14:25 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=396&pid=8&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 499
2010-06-22 00:14:26 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=779&pid=18&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 327
2010-06-22 00:14:28 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=699&pid=15&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 294
2010-06-22 00:14:28 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=247&pid=7&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 281
2010-06-22 00:14:28 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=928&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 286
2010-06-22 00:14:29 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=485&pid=18&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 299
2010-06-22 00:14:29 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=551&pid=23&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 330
2010-06-22 00:14:30 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=496&pid=18&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 304
2010-06-22 00:14:30 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=441&pid=12&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 520
2010-06-22 00:14:30 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=238&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 277
2010-06-22 00:14:31 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=934&pid=2&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 307
2010-06-22 00:14:31 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=196&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 298
2010-06-22 00:14:31 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=189&pid=2&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 304
2010-06-22 00:14:32 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=874&pid=17&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 304
2010-06-22 00:14:32 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=73&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 308
2010-06-22 00:14:32 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=833&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 296
2010-06-22 00:14:34 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=698&pid=11&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 284
2010-06-22 00:14:34 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=794&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 298
2010-06-22 00:14:34 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=839&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 316
2010-06-22 00:14:35 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=844&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 344
2010-06-22 00:14:35 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=567&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 318
2010-06-22 00:14:35 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=677&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 290
2010-06-22 00:14:36 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=127&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 316
2010-06-22 00:14:38 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=187&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 291
2010-06-22 00:14:38 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=375&pid=7&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 275
2010-06-22 00:14:38 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=59&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 325
2010-06-22 00:14:39 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=100&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 317
2010-06-22 00:14:39 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=479&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 292
2010-06-22 00:14:39 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=866&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 301
2010-06-22 00:14:40 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=871&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 301
2010-06-22 00:14:40 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=495&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 299
2010-06-22 00:14:40 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=545&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 297
2010-06-22 00:14:43 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=32&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 297
2010-06-22 00:14:43 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=421&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:43 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=416&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 314
2010-06-22 00:14:44 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=354&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 333
2010-06-22 00:14:44 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=370&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 300
2010-06-22 00:14:44 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=762&pid=16&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 311
2010-06-22 00:14:45 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=18&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:45 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=738&pid=13&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 293
2010-06-22 00:14:45 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=855&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 295
2010-06-22 00:14:47 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=905&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 300
2010-06-22 00:14:47 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=1511&prcid=4&ppid=1511 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 202
2010-06-22 00:14:47 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=665&pid=6&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 297
2010-06-22 00:14:48 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=668&pid=19&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 303
2010-06-22 00:14:48 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=708&pid=7&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 336
2010-06-22 00:14:50 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=619&pid=13&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 296
2010-06-22 00:14:50 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=330&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 292
2010-06-22 00:14:50 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=100001&prcid=4&ppid=1506 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 201
2010-06-22 00:14:51 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=532&pid=19&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 329
2010-06-22 00:14:51 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=173&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 313
2010-06-22 00:14:53 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=524&pid=16&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 308
2010-06-22 00:14:53 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=711&pid=8&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 301
2010-06-22 00:14:53 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=111&pid=2&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 300
2010-06-22 00:22:03 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=421&pid=9&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 547
2010-06-22 00:24:56 134.36.36.75 GET /Darwin/ImageCache/cache_qVKKMTJ_4164.jpeg - 80 - 66.249.71.14 Googlebot-Image/1.0 304 0 0 103
2010-06-22 00:24:57 134.36.36.75 GET /Darwin/Place.aspx p=25&ix=17&pid=0&prcid=0&ppid=0 80 - 66.249.71.14 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 200 0 0 573
2010-06-22 00:28:19 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=232&pid=6&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 534
2010-06-22 00:33:57 134.36.36.75 GET / - 80 - 220.181.7.62 Baiduspider+(+http://www.baidu.com/search/spider.htm) 200 0 0 280
2010-06-22 00:34:00 134.36.36.75 GET / - 80 - 123.125.66.75 Baiduspider+(+http://www.baidu.com/search/spider.htm) 200 0 0 352
2010-06-22 00:34:47 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=528&prcid=62&ppid=1505 80 - 216.129.119.45 Mozilla/5.0+(Twiceler-0.9+http://www.cuil.com/twiceler/robot.html) 200 0 0 391
2010-06-22 00:36:33 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=875&pid=6&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 536
2010-06-22 00:41:39 134.36.36.75 GET /Darwin/ImageCache/cache_5HcQQio_4031.jpeg - 80 - 66.249.71.14 Googlebot-Image/1.0 304 0 0 102
2010-06-22 00:42:07 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=366&pid=19&prcid=26&ppid=1502 80 - 207.46.12.14 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.2;++SLCC1) 200 0 0 440
2010-06-22 00:42:09 134.36.36.75 GET /Darwin/style.css - 80 - 207.46.12.14 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.2;++SLCC1) 200 0 0 227
2010-06-22 00:42:11 134.36.36.75 GET /dmsutils.js p=25 80 - 207.46.12.14 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.2;++SLCC1) 200 0 0 124
2010-06-22 00:42:11 134.36.36.75 GET /Darwin/print.css - 80 - 207.46.12.14 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.2;++SLCC1) 404 0 2 107
2010-06-22 00:44:47 134.36.36.75 GET /CMSShared/Document.aspx p=25&ix=6&pid=100001&prcid=4&ppid=1506 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 333
2010-06-22 00:45:31 134.36.36.75 GET /Darwin/Page.aspx p=25&ix=100004&pid=-1'&prcid=17&ppid=0 80 - 212.117.165.179 Mozilla/4.0+(compatible;+Synapse) 200 0 0 24
2010-06-22 00:45:31 134.36.36.75 GET /Darwin/Page.aspx p=25&ix=100004&pid=25&prcid=17&ppid=-1' 80 - 212.117.165.179 Mozilla/4.0+(compatible;+Synapse) 200 0 0 22
2010-06-22 00:45:31 134.36.36.75 GET /Darwin/Page.aspx p=25&ix=-1'&pid=25&prcid=17&ppid=0 80 - 212.117.165.179 Mozilla/4.0+(compatible;+Synapse) 200 0 0 24
2010-06-22 00:45:31 134.36.36.75 GET /Darwin/Page.aspx p=25&ix=100004&pid=25&prcid=-1'&ppid=0 80 - 212.117.165.179 Mozilla/4.0+(compatible;+Synapse) 200 0 0 23
2010-06-22 00:45:31 134.36.36.75 GET /Darwin/Page.aspx p=-1'&ix=100004&pid=25&prcid=17&ppid=0 80 - 212.117.165.179 Mozilla/4.0+(compatible;+Synapse) 200 0 0 145
2010-06-22 00:51:23 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=679&pid=0&prcid=0&ppid=0 80 - 216.129.119.45 Mozilla/5.0+(Twiceler-0.9+http://www.cuil.com/twiceler/robot.html) 200 0 0 617
2010-06-22 00:52:47 134.36.36.75 GET /robots.txt - 80 - 220.181.7.109 Baiduspider+(+http://www.baidu.com/search/spider.htm) 404 0 2 269
2010-06-22 00:53:01 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=294&pid=6&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 540
2010-06-22 00:53:10 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=145&prcid=62&ppid=1505 80 - 67.195.115.185 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 200 0 0 429
2010-06-22 00:53:11 134.36.36.75 GET /Darwin/style.css - 80 - 67.195.115.185 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 304 0 0 182
2010-06-22 00:53:12 134.36.36.75 GET /Darwin/print.css - 80 - 67.195.115.185 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 404 0 2 181
2010-06-22 00:53:18 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=121&prcid=62&ppid=1505 80 - 67.195.115.185 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 200 0 0 423
2010-06-22 00:58:20 134.36.36.75 GET /robots.txt - 80 - 66.249.71.14 Googlebot-Image/1.0 404 0 2 101
2010-06-22 00:58:20 134.36.36.75 GET /Darwin/ImageCache/cache_qwnW1iO_4116.jpeg - 80 - 66.249.71.14 Googlebot-Image/1.0 304 0 0 141
2010-06-22 01:00:51 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=514&pid=13&prcid=26&ppid=1502 80 - 67.195.115.185 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 200 0 0 652
2010-06-22 01:01:15 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=691&pid=6&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 536
2010-06-22 01:06:33 134.36.36.75 GET /Darwin/MyAccount.aspx p=25&pid=395&prcid=62&ppid=1505 80 - 67.195.115.185 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 200 0 0 426
